"degrees_east","degrees_north","UTC"
-116.43,27.5,2003-01-01
-116.5,27.61,2003-01-02
-116.6,27.73,2003-01-03
-116.72,27.84,2003-01-04
-116.77,27.89,2003-01-05
-116.72,27.88,2003-01-06
-116.65,27.86,2003-01-07
-116.57,27.79,2003-01-08
-116.47,27.72,2003-01-09
-116.38,27.65,2003-01-10
-116.18,27.49,2003-01-11
-115.98,27.35,2003-01-12
-115.92,27.3,2003-01-13
-115.92,27.27,2003-01-14
-115.97,27.3,2003-01-15
-116.06,27.33,2003-01-16
-116.12,27.35,2003-01-17
-116.16,27.34,2003-01-18
-116.18,27.33,2003-01-19
-116.1,27.27,2003-01-20
-115.97,27.22,2003-01-21
-115.89,27.23,2003-01-22
-115.89,27.31,2003-01-23
-116,27.45,2003-01-24
-116.08,27.53,2003-01-25
-116.1,27.6,2003-01-26
-116.13,27.7,2003-01-27
-116.24,27.88,2003-01-28
-116.4,28.07,2003-01-29
-116.58,28.25,2003-01-30
-116.64,28.33,2003-01-31
-122.37,33.28,2004-01-01
-122.27,33.19,2004-01-02
-122.15,33.1,2004-01-03
-122.07,33.05,2004-01-04
-121.98,32.96,2004-01-05
-121.75,32.76,2004-01-06
-121.4,32.48,2004-01-07
-121.17,32.29,2004-01-08
-120.87,31.99,2004-01-09
-120.64,31.75,2004-01-10
-120.45,31.54,2004-01-11
-120.21,31.25,2004-01-12
-119.88,30.87,2004-01-13
-119.52,30.47,2004-01-14
-119,29.91,2004-01-15
-118.39,29.33,2004-01-16
-117.89,28.82,2004-01-17
-117.45,28.39,2004-01-18
-117.24,28.15,2004-01-19
-117.27,28.08,2004-01-20
-117.34,28.04,2004-01-21
-117.5,28.09,2004-01-22
-117.63,28.13,2004-01-23
-117.67,28.1,2004-01-24
-117.67,28.06,2004-01-25
-117.67,28.04,2004-01-26
-117.72,28.07,2004-01-27
-117.79,28.09,2004-01-28
-117.71,28,2004-01-29
-117.68,27.94,2004-01-30
-117.66,27.87,2004-01-31
-118.5350487,29.4789961,2005-01-01
-117.8820616,29.05585431,2005-01-02
-117.4651971,28.68431924,2005-01-03
-117.397171,28.42208182,2005-01-04
-117.3465971,28.25376542,2005-01-05
-117.2534754,28.10520737,2005-01-06
-117.1718307,27.96222091,2005-01-07
-117.0743843,27.88336047,2005-01-08
-116.9644219,27.82332016,2005-01-09
-116.8759679,27.750139,2005-01-10
-116.8794399,27.68675386,2005-01-11
-116.811171,27.60180408,2005-01-12
-116.6962811,27.48962722,2005-01-13
-116.3737797,27.34698139,2005-01-14
-116.1269283,27.12305611,2005-01-15
-115.9492775,26.89991954,2005-01-16
-115.7683105,26.64903936,2005-01-17
-115.6061949,26.36834242,2005-01-18
-115.4707194,26.1256066,2005-01-19
-115.4116076,25.9271483,2005-01-20
-115.4785581,25.74312498,2005-01-21
-115.5930352,25.58048467,2005-01-22
-115.7698234,25.5129301,2005-01-23
-115.9665927,25.5165394,2005-01-24
-116.1386277,25.53018533,2005-01-25
-116.2981251,25.53127636,2005-01-26
-116.4241907,25.5458648,2005-01-27
-116.3981436,25.55617314,2005-01-28
-116.4055912,25.53768524,2005-01-29
-116.5134649,25.55266856,2005-01-30
-116.659822,25.56558018,2005-01-31
-121.07,32.16,2005-01-01
-121.08,32.18,2005-01-02
-121.07,32.2,2005-01-03
-121.13,32.27,2005-01-04
-121.38,32.43,2005-01-05
-121.61,32.54,2005-01-06
-121.68,32.52,2005-01-07
-121.61,32.45,2005-01-08
-122.08,32.81,2005-01-09
-122.58,33.15,2005-01-10
-123.2,33.57,2005-01-11
-123.97,34.04,2005-01-12
-124.38,34.18,2005-01-13
-124.11,33.89,2005-01-14
-123.54,33.42,2005-01-15
-122.77,32.84,2005-01-16
-122.13,32.34,2005-01-17
-121.54,31.88,2005-01-18
-121.18,31.61,2005-01-19
-120.95,31.45,2005-01-20
-121.13,31.56,2005-01-21
-121.24,31.57,2005-01-22
-121.23,31.5,2005-01-23
-121.22,31.46,2005-01-24
-121.38,31.53,2005-01-25
-121.43,31.53,2005-01-26
-121.55,31.6,2005-01-27
-121.37,31.46,2005-01-28
-121.11,31.28,2005-01-29
-120.73,31.05,2005-01-30
-120.47,30.95,2005-01-31
-120.61,31.06,2005-01-01
-120.18,30.43,2005-01-02
