"degrees_east","degrees_north","UTC"
-114.6990277,26.09477707,2003-04-01
-114.446372,25.91517985,2003-04-02
-114.2917708,25.71778907,2003-04-03
-113.9570293,25.36971624,2003-04-04
-113.5942057,24.92316601,2003-04-05
-113.1081864,24.40190738,2003-04-06
-112.6569483,23.97771074,2003-04-07
-112.5416802,23.85388142,2003-04-08
-112.6032704,23.93819612,2003-04-09
-112.7104445,23.88388712,2003-04-10
-112.4468379,23.61362105,2003-04-11
-112.5105795,23.66106595,2003-04-12
-112.6073803,23.73205301,2003-04-13
-112.7300943,23.86565912,2003-04-14
-112.9820418,24.25895501,2003-04-15
-113.3969216,24.67095391,2003-04-16
-113.65416,24.8648489,2003-04-17
-113.9635794,25.11756345,2003-04-18
-114.1997575,25.30435976,2003-04-19
-114.3729266,25.46499872,2003-04-20
-114.5211424,25.57823461,2003-04-21
-114.5236158,25.51606402,2003-04-22
-114.4271742,25.42086072,2003-04-23
-114.3538499,25.39661154,2003-04-24
-114.3392027,25.43868656,2003-04-25
-114.3698138,25.45697003,2003-04-26
-114.1730026,25.26460746,2003-04-27
-114.1872147,25.31151968,2003-04-28
-114.2525461,25.39766541,2003-04-29
-114.2532456,25.4201456,2003-04-30
-114.0482266,24.72768607,2003-04-01
-114.2157491,24.97680776,2003-04-02
-114.4062673,25.17315132,2003-04-03
-114.3626161,25.21001154,2003-04-04
-114.3790076,25.28619699,2003-04-05
-114.2758749,25.22813474,2003-04-06
-114.0550552,25.07074746,2003-04-07
-114.1289159,25.16664475,2003-04-08
-114.2833289,25.43734626,2003-04-09
-114.4571127,25.67627388,2003-04-10
-114.5922301,25.8604121,2003-04-11
-114.7036859,26.09069181,2003-04-12
-115.2104399,26.50445079,2003-04-13
-115.4401563,26.64838788,2003-04-14
-115.406704,26.59135018,2003-04-15
-115.2710143,26.35816744,2003-04-16
-114.8565817,26.04079596,2003-04-17
-114.6689719,25.87193909,2003-04-18
-114.4394533,25.59493954,2003-04-19
-114.2000594,25.43506337,2003-04-20
-114.1266166,25.37034992,2003-04-21
-114.0736607,25.39042148,2003-04-22
-114.1338132,25.41311049,2003-04-23
-114.0729333,25.31173746,2003-04-24
-113.987133,25.28084043,2003-04-25
-113.9229284,25.27644139,2003-04-26
-113.9310329,25.3333445,2003-04-27
-114.0283235,25.42118121,2003-04-28
-113.9676756,25.38683479,2003-04-29
-113.8857913,25.31716066,2003-04-30
-113.8904282,25.34373128,2003-04-01
-114.0727034,25.40818511,2003-04-02
-114.1315406,25.45116007,2003-04-03
-114.1208783,25.47685748,2003-04-04
-114.1057338,25.47551972,2003-04-05
-114.0016895,25.37495495,2003-04-06
-113.8102865,25.32377454,2003-04-07
-113.8647073,25.5189429,2003-04-08
-114.0927574,25.7578877,2003-04-09
-114.3075122,25.95764634,2003-04-10
-114.4463416,26.02107621,2003-04-11
-114.4288918,25.8531168,2003-04-12
-114.2500309,25.70565948,2003-04-13
-114.1658866,25.5964722,2003-04-14
-114.0761447,25.57922439,2003-04-15
-114.1927083,25.64510708,2003-04-16
-114.2357222,25.60697743,2003-04-17
-114.2814933,25.65158208,2003-04-18
-114.341204,25.64943883,2003-04-19
-114.4185981,25.76366236,2003-04-20
-114.5866528,25.81516315,2003-04-21
-114.5608542,25.68305257,2003-04-22
-114.4264996,25.60201394,2003-04-23
-114.4126542,25.67217828,2003-04-24
-114.3947271,25.58981251,2003-04-25
-114.2679308,25.41329432,2003-04-26
-114.1411311,25.38438851,2003-04-27
-114.1373746,25.29522879,2003-04-28
-113.9895442,25.225864,2003-04-29
-114.1057681,25.36047335,2003-04-30
-115.0046079,26.3219265,2003-04-02
-114.9576152,26.54448777,2003-04-05
-115.1047445,26.55072581,2003-04-08
-116.0806359,26.96049624,2003-04-11
-116.874818,27.49252956,2003-04-14
-117.2710834,28.11597704,2003-04-17
-118.2260304,29.26631155,2003-04-20
-119.1786799,30.03791429,2003-04-23
-119.2887547,30.135748,2003-04-26
-119.2739524,30.00997334,2003-04-29
-114.2104928,24.93128781,2004-04-02
-115.45478,25.90660754,2004-04-05
-115.3999439,26.10328457,2004-04-08
-114.7406017,25.82857032,2004-04-11
-114.7376112,25.91136577,2004-04-14
-114.8382267,25.62007756,2004-04-17
-113.9744823,25.1907311,2004-04-20
-114.2211216,25.38744912,2004-04-23
-114.9156295,25.638879,2004-04-26
-114.8268584,25.72603645,2004-04-29
-113,24.31,2003-04-01
-113.32,24.61,2003-04-02
-113.62,24.84,2003-04-03
-113.84,24.98,2003-04-04
-113.95,25.04,2003-04-05
-113.96,25.02,2003-04-06
-113.84,24.9,2003-04-07
-113.78,24.82,2003-04-08
-113.9,24.88,2003-04-09
-114.16,25.01,2003-04-10
-114.45,25.11,2003-04-11
-114.69,25.18,2003-04-12
-114.78,25.18,2003-04-13
-114.8,25.18,2003-04-14
-114.64,25.15,2003-04-15
-114.5,25.2,2003-04-16
-114.35,25.25,2003-04-17
-114.18,25.27,2003-04-18
-113.94,25.2,2003-04-19
-113.75,25.18,2003-04-20
-113.71,25.31,2003-04-21
-113.83,25.51,2003-04-22
