"degrees_east","degrees_north","UTC"
-114.4571196,25.61368697,2003-02-01
-114.4945486,25.72090433,2003-02-02
-114.5928691,25.74817083,2003-02-03
-114.5281275,25.6335512,2003-02-04
-114.4893955,25.62612279,2003-02-05
-114.4677984,25.63709868,2003-02-06
-114.5924641,25.85560137,2003-02-07
-114.6145403,25.83549701,2003-02-08
-114.594672,25.78570513,2003-02-09
-114.5396844,25.69534978,2003-02-10
-114.4260842,25.66149239,2003-02-11
-114.5223323,25.73479842,2003-02-12
-114.5438735,25.84310949,2003-02-13
-114.7730794,26.03086968,2003-02-14
-114.8826894,26.09184922,2003-02-15
-114.9566825,26.1284175,2003-02-16
-115.0165993,26.24499178,2003-02-17
-115.230156,26.46637988,2003-02-18
-115.4098312,26.61310599,2003-02-19
-115.6198148,26.79201261,2003-02-20
-115.6779215,26.76689846,2003-02-21
-115.6941889,26.7595149,2003-02-22
-115.7534099,26.71890363,2003-02-23
-115.7796193,26.68770951,2003-02-24
-115.9203319,26.80951118,2003-02-25
-116.0801337,26.9147421,2003-02-26
-116.4465507,27.17033374,2003-02-27
-116.754838,27.33978165,2003-02-28
-116.1931462,26.91495358,2003-02-01
-116.4309385,27.05770586,2003-02-02
-116.4799116,27.06642465,2003-02-03
-116.4844284,27.1009641,2003-02-04
-116.3913215,27.07403712,2003-02-05
-116.433466,27.18938295,2003-02-06
-116.5005798,27.40235174,2003-02-07
-116.6500439,27.67173031,2003-02-08
-116.8569941,28.00968842,2003-02-09
-117.1864398,28.43472166,2003-02-10
-117.5154306,28.85114749,2003-02-11
-118.1397553,29.38826921,2003-02-12
-118.3259639,29.60061855,2003-02-13
-118.4655216,29.70192737,2003-02-14
-118.3326264,29.60358533,2003-02-15
-118.1926817,29.59082077,2003-02-16
-118.134955,29.60721801,2003-02-17
-117.9301061,29.42741781,2003-02-18
-117.686305,29.28194681,2003-02-19
-117.5234342,29.19938106,2003-02-20
-117.408248,29.1400917,2003-02-21
-117.269825,29.02400234,2003-02-22
-117.2098147,28.97793229,2003-02-23
-117.0566106,28.91822327,2003-02-24
-116.9920807,28.92735047,2003-02-25
-116.9203933,28.87501014,2003-02-26
-117.011383,28.87389864,2003-02-27
-116.7709759,28.6643862,2003-02-28
-117.3793729,27.38240311,2003-02-01
-117.6829294,27.62568319,2003-02-02
-118.0435868,27.90687408,2003-02-03
-118.4457248,28.30956481,2003-02-04
-119.0446234,29.01306344,2003-02-05
-119.9519586,29.82280578,2003-02-06
-120.8463038,30.53296499,2003-02-07
-121.6900203,31.27236277,2003-02-08
-122.5187059,31.94903837,2003-02-09
-123.1871118,32.45928681,2003-02-10
-123.6311994,32.92165984,2003-02-11
-124.0580179,33.1601446,2003-02-12
-124.1258829,33.24452595,2003-02-13
-124.1591294,33.39120109,2003-02-14
-124.3200188,33.80382209,2003-02-15
-124.5169378,34.02035736,2003-02-16
-124.6486963,34.29470628,2003-02-17
-124.8377476,34.47093332,2003-02-18
-124.73734,34.38320762,2003-02-19
-124.4855133,34.35779009,2003-02-20
-124.3005125,34.43673516,2003-02-21
-124.1609468,34.69235716,2003-02-22
-124.3094733,35.02556329,2003-02-23
-124.3436913,34.99730755,2003-02-24
-124.0865121,34.87813392,2003-02-25
-123.9607978,34.80941976,2003-02-26
-123.6579697,34.58511199,2003-02-27
-123.4175654,34.32378815,2003-02-28
-118.4815936,28.63346194,2003-02-01
-118.1606776,27.91393146,2003-02-04
-117.7677897,27.63863982,2003-02-07
-117.2631503,27.23113949,2003-02-10
-117.0235256,26.95978071,2003-02-13
-116.80675,26.88642378,2003-02-16
-115.5749581,26.23750548,2003-02-19
-114.2808265,25.64881378,2003-02-22
-114.2249644,25.63343985,2003-02-25
-114.2717918,25.74969863,2003-02-28
-123.3909408,33.72287753,2004-02-02
-122.8489553,32.75502778,2004-02-05
-120.538604,30.78339985,2004-02-08
-118.0363975,28.5773383,2004-02-11
-116.1786919,27.06669659,2004-02-14
-114.9594183,26.04740664,2004-02-17
-113.9566213,25.14164573,2004-02-20
-112.887627,24.3642946,2004-02-23
-112.5816434,23.97073115,2004-02-26
-112.5946288,23.77152025,2004-02-29
-116.79,26.64,2003-02-01
-116.96,26.8,2003-02-02
-117.05,26.94,2003-02-03
-117.17,27.13,2003-02-04
-117.15,27.18,2003-02-05
-117.03,27.12,2003-02-06
-116.96,27.07,2003-02-07
-117.02,27.07,2003-02-08
-117.23,27.2,2003-02-09
-117.55,27.44,2003-02-10
-117.93,27.77,2003-02-11
