"degrees_east","degrees_north","UTC"
-117.0461499,27.59364044,2003-03-01
-117.481922,28.04186665,2003-03-02
-117.9991578,28.59583855,2003-03-03
-118.6445715,29.2693067,2003-03-04
-119.2322364,29.85538189,2003-03-05
-119.874143,30.54657314,2003-03-06
-120.3011531,31.02291146,2003-03-07
-120.6116328,31.47018008,2003-03-08
-121.0667716,32.02889121,2003-03-09
-121.3421563,32.23853332,2003-03-10
-121.3671854,32.2275867,2003-03-11
-121.3164813,32.24885944,2003-03-12
-121.4266823,32.39267769,2003-03-13
-121.6952644,32.83930304,2003-03-14
-122.1163299,33.25434873,2003-03-15
-122.4075557,33.52437567,2003-03-16
-122.506682,33.65412876,2003-03-17
-122.6419497,33.83416416,2003-03-18
-122.8199104,34.06326371,2003-03-19
-122.8565289,34.01508358,2003-03-20
-122.5417158,33.65312063,2003-03-21
-122.1054595,33.10247878,2003-03-22
-120.9468142,31.80599925,2003-03-23
-119.7926576,30.69191111,2003-03-24
-118.612515,29.54065231,2003-03-25
-117.5967585,28.63226699,2003-03-26
-116.747183,27.85096364,2003-03-27
-116.1217817,27.31016793,2003-03-28
-115.6691083,26.82139773,2003-03-29
-115.1179263,26.41413845,2003-03-30
-114.8666274,26.29902908,2003-03-31
-116.7798808,28.7320613,2003-03-01
-117.0340768,29.00350187,2003-03-02
-117.3947073,29.32205234,2003-03-03
-117.5631738,29.51504877,2003-03-04
-117.6369119,29.54684224,2003-03-05
-117.6144128,29.41295794,2003-03-06
-117.3481435,29.12433133,2003-03-07
-117.2040691,28.99428765,2003-03-08
-117.2914114,29.0293902,2003-03-09
-117.2888432,28.9205456,2003-03-10
-117.1141898,28.57396987,2003-03-11
-116.761758,28.15947141,2003-03-12
-116.4836542,27.78594407,2003-03-13
-116.1916606,27.3701515,2003-03-14
-115.8887659,26.93835908,2003-03-15
-115.4179667,26.4390065,2003-03-16
-115.0941541,26.07422368,2003-03-17
-114.8211042,25.78964722,2003-03-18
-114.6069334,25.53052295,2003-03-19
-114.3881779,25.32909479,2003-03-20
-114.3149736,25.26870388,2003-03-21
-114.2933572,25.2386171,2003-03-22
-114.4235816,25.30491008,2003-03-23
-114.56311,25.36665697,2003-03-24
-114.4256395,25.11360647,2003-03-25
-114.2290807,24.86889603,2003-03-26
-114.0033201,24.67094557,2003-03-27
-113.9183409,24.56876715,2003-03-28
-113.8925172,24.48546903,2003-03-29
-113.8778189,24.50671953,2003-03-30
-113.9383744,24.59313644,2003-03-31
-122.9343224,33.62942888,2003-03-01
-122.0606737,32.99374604,2003-03-02
-121.4996951,32.46275015,2003-03-03
-120.7383863,31.65817578,2003-03-04
-119.9048222,30.85122918,2003-03-05
-119.0547202,30.06776456,2003-03-06
-118.2400129,29.27980404,2003-03-07
-117.4500881,28.77508667,2003-03-08
-117.1615071,28.69947228,2003-03-09
-117.0817023,28.62738641,2003-03-10
-117.0177217,28.57427669,2003-03-11
-116.9645708,28.52281611,2003-03-12
-116.9065984,28.31203041,2003-03-13
-116.6081523,27.89276373,2003-03-14
-116.1788832,27.43613374,2003-03-15
-115.7692608,27.0583816,2003-03-16
-115.380048,26.69739814,2003-03-17
-115.1391941,26.47743826,2003-03-18
-114.8878996,26.17079031,2003-03-19
-114.6190844,26.00709246,2003-03-20
-114.5165703,26.01843468,2003-03-21
-114.5114808,25.97772048,2003-03-22
-114.4200625,25.84806198,2003-03-23
-114.3428025,25.72763369,2003-03-24
-114.1943924,25.55225236,2003-03-25
-114.0531279,25.40384596,2003-03-26
-113.9575732,25.38272004,2003-03-27
-113.9436726,25.30251489,2003-03-28
-113.8520988,25.1903656,2003-03-29
-113.7574612,25.06872384,2003-03-30
-113.6602658,25.08831995,2003-03-31
-114.3737346,25.64318001,2003-03-03
-114.4845035,25.55379683,2003-03-06
-114.5287291,25.34692182,2003-03-09
-114.388319,25.02006541,2003-03-12
-113.7084393,24.64415755,2003-03-15
-113.2046621,24.4447687,2003-03-18
-113.65165,24.85175759,2003-03-21
-114.3993178,25.16117548,2003-03-24
-114.0944335,25.19199636,2003-03-27
-114.4643462,25.69019336,2003-03-30
-112.8165726,23.85546681,2004-03-03
-112.7541851,23.75470255,2004-03-06
-112.6056921,23.65107956,2004-03-09
-112.8223519,23.74990426,2004-03-12
-113.0738568,23.85614271,2004-03-15
-113.1659946,23.91788337,2004-03-18
-113.2836626,23.91221868,2004-03-21
-113.3146326,23.92570808,2004-03-24
-113.139955,23.89011533,2004-03-27
-113.1074313,24.00258931,2004-03-30
-118.15,27.86,2003-03-01
-117.75,27.61,2003-03-02
-117.46,27.48,2003-03-03
-117.27,27.5,2003-03-04
-117.33,27.7,2003-03-05
-117.44,27.87,2003-03-06
-117.57,28.02,2003-03-07
-117.69,28.15,2003-03-08
-117.83,28.28,2003-03-09
-117.98,28.42,2003-03-10
-118.09,28.5,2003-03-11
-118.07,28.5,2003-03-12
-117.86,28.4,2003-03-13
-117.64,28.28,2003-03-14
-117.43,28.13,2003-03-15
-117.06,27.81,2003-03-16
-116.65,27.4,2003-03-17
-116.21,26.94,2003-03-18
-115.75,26.46,2003-03-19
-115.24,25.98,2003-03-20
-114.66,25.49,2003-03-21
-114.1,25.08,2003-03-22
