"degrees_east","degrees_north","UTC"
-126.463451,40.60232159,2002-11-01
-126.695121,40.72495746,2002-11-02
-126.8081593,40.75021114,2002-11-03
-126.6166301,40.81806287,2002-11-04
-126.8805099,41.0414503,2002-11-05
-126.6140797,40.5985059,2002-11-06
-126.1844613,40.41106643,2002-11-07
-126.4218811,40.62093744,2002-11-08
-126.382393,40.35799945,2002-11-09
-126.1970442,40.16394436,2002-11-10
-126.2101169,40.2531149,2002-11-11
-126.3839,40.46481855,2002-11-12
-126.4056244,40.43189975,2002-11-13
-126.2897811,40.34508322,2002-11-14
-126.0863585,40.24364786,2002-11-15
-126.0490209,40.15379394,2002-11-16
-125.6861796,39.89989181,2002-11-17
-125.5073204,39.86796552,2002-11-18
-125.3339829,39.88487661,2002-11-19
-125.2865107,40.11178371,2002-11-20
-125.4911739,40.46386268,2002-11-21
-125.2547598,40.30250975,2002-11-22
-124.9643133,40.47049319,2002-11-23
-125.296083,41.01022672,2002-11-24
-125.2708015,41.11977687,2002-11-25
-125.6255992,41.34784022,2002-11-26
-125.2481653,40.67525848,2002-11-27
-124.7991704,40.49546763,2002-11-28
-125.07654,40.86270762,2002-11-29
-125.3893933,40.68175739,2002-11-30
-123.1447823,36.36428282,2002-11-01
-123.0454455,36.21445002,2002-11-02
-122.9002773,36.10313484,2002-11-03
-122.8525511,36.08549331,2002-11-04
-122.966373,36.14938511,2002-11-05
-122.8366289,36.0857855,2002-11-06
-123.1005105,36.42319128,2002-11-07
-123.4301346,36.85901223,2002-11-08
-124.1868457,37.62616399,2002-11-09
-124.687828,38.13696835,2002-11-10
-125.1575776,38.62514821,2002-11-11
-125.6944893,39.12892218,2002-11-12
-126.1487599,39.48474946,2002-11-13
-126.3530482,39.60332644,2002-11-14
-126.220497,39.42062634,2002-11-15
-126.0310554,39.20753302,2002-11-16
-125.6406037,38.85648631,2002-11-17
-125.256756,38.58964006,2002-11-18
-125.2053681,38.57616101,2002-11-19
-125.2239087,38.59762293,2002-11-20
-125.1574012,38.6003346,2002-11-21
-125.1998968,38.72060615,2002-11-22
-125.2281854,38.74351982,2002-11-23
-125.2326069,38.73871341,2002-11-24
-125.0907674,38.58702916,2002-11-25
-125.0280551,38.51254614,2002-11-26
-125.0376588,38.4567906,2002-11-27
-124.9116934,38.32018929,2002-11-28
-124.7095151,38.13883254,2002-11-29
-124.629412,38.01817311,2002-11-30
-126.3558947,38.69342549,2002-11-01
-126.4430722,38.76400258,2002-11-02
-126.3813817,38.64980761,2002-11-03
-126.4001532,38.8108353,2002-11-04
-126.5981902,39.0096102,2002-11-05
-126.6822364,39.08947165,2002-11-06
-126.6731683,39.29629926,2002-11-07
-126.6787809,39.21663398,2002-11-08
-126.2297624,38.87728957,2002-11-09
-125.7483506,38.69418822,2002-11-10
-125.3557082,38.57270553,2002-11-11
-125.0955735,38.59633711,2002-11-12
-125.0569955,38.83557734,2002-11-13
-125.224438,38.96757857,2002-11-14
-125.0810091,38.75125274,2002-11-15
-124.7878979,38.58721085,2002-11-16
-124.6755235,38.54951144,2002-11-17
-124.537414,38.13079916,2002-11-18
-123.9701328,37.43477476,2002-11-19
-123.3755464,36.87856997,2002-11-20
-122.7954844,36.22632308,2002-11-21
-122.022111,35.33947851,2002-11-22
-121.1211404,34.30313804,2002-11-23
-120.0923938,33.25499444,2002-11-24
-119.1474607,32.57414115,2002-11-25
