"degrees_east","degrees_north","UTC"
-114.2,25.53,2003-05-01
-113.98,25.27,2003-05-02
-113.83,25.09,2003-05-03
-113.83,25.05,2003-05-04
-113.7,24.88,2003-05-05
-113.42,24.6,2003-05-06
-113.18,24.42,2003-05-07
-113.09,24.39,2003-05-08
-112.97,24.31,2003-05-09
-112.84,24.21,2003-05-10
-112.77,24.16,2003-05-11
-112.81,24.19,2003-05-12
-112.92,24.25,2003-05-13
-113.02,24.29,2003-05-14
-113.14,24.33,2003-05-15
-113.1,24.21,2003-05-16
-113.04,24.08,2003-05-17
-112.89,23.87,2003-05-18
-112.72,23.68,2003-05-19
-112.7,23.63,2003-05-20
-112.77,23.65,2003-05-21
-112.79,23.61,2003-05-22
-112.85,23.59,2003-05-23
-112.94,23.6,2003-05-24
-113.04,23.57,2003-05-25
-113.03,23.42,2003-05-26
-113,23.28,2003-05-27
-112.93,23.13,2003-05-28
-112.87,23.01,2003-05-29
-112.9,22.99,2003-05-30
-112.94,22.98,2003-05-31
-114.32,24.57,2003-05-01
-114.15,24.39,2003-05-02
-114.11,24.35,2003-05-03
-114.22,24.47,2003-05-04
-114.48,24.74,2003-05-05
-114.81,25.06,2003-05-06
-115.02,25.23,2003-05-07
-115.19,25.36,2003-05-08
-115.3,25.45,2003-05-09
-115.27,25.41,2003-05-10
-115.23,25.41,2003-05-11
-115.32,25.57,2003-05-12
-115.6,25.95,2003-05-13
-115.98,26.38,2003-05-14
-116.36,26.76,2003-05-15
-116.93,27.32,2003-05-16
-117.39,27.71,2003-05-17
-117.72,27.98,2003-05-18
-118.04,28.3,2003-05-19
-118.42,28.71,2003-05-20
-118.83,29.19,2003-05-21
-119.03,29.48,2003-05-22
-118.89,29.4,2003-05-23
-118.47,29.04,2003-05-24
-117.89,28.54,2003-05-25
-117.36,28.11,2003-05-26
-117.01,27.84,2003-05-27
-116.75,27.63,2003-05-28
-116.64,27.57,2003-05-29
-116.67,27.64,2003-05-30
-116.8,27.81,2003-05-31
-114.88,26.12,2004-05-01
-114.72,25.94,2004-05-02
-114.59,25.78,2004-05-03
-114.54,25.7,2004-05-04
-114.47,25.62,2004-05-05
-114.36,25.52,2004-05-06
-114.27,25.46,2004-05-07
-114.32,25.55,2004-05-08
-114.45,25.7,2004-05-09
-114.56,25.81,2004-05-10
-114.53,25.78,2004-05-11
-114.42,25.73,2004-05-12
-114.32,25.7,2004-05-13
-114.24,25.73,2004-05-14
-114.24,25.84,2004-05-15
-114.44,26.13,2004-05-16
-114.82,26.61,2004-05-17
-115.16,26.99,2004-05-18
-115.49,27.35,2004-05-19
-115.72,27.59,2004-05-20
-115.71,27.57,2004-05-21
-115.65,27.48,2004-05-22
-115.59,27.4,2004-05-23
-115.41,27.14,2004-05-24
-115.08,26.72,2004-05-25
-114.88,26.44,2004-05-26
-114.79,26.25,2004-05-27
-114.93,26.3,2004-05-28
-115.2,26.44,2004-05-29
-115.27,26.34,2004-05-30
-115.13,26.03,2004-05-31
-112.27,24.12,2003-05-01
-112.32,24.21,2003-05-02
-112.51,24.36,2003-05-03
-112.62,24.44,2003-05-04
-112.66,24.49,2003-05-05
-112.7,24.52,2003-05-06
-112.71,24.54,2003-05-07
-112.69,24.55,2003-05-08
-112.67,24.57,2003-05-09
-112.71,24.65,2003-05-10
-112.76,24.75,2003-05-11
-112.9,24.91,2003-05-12
-113.05,25.1,2003-05-13
-113.26,25.36,2003-05-14
-113.41,25.58,2003-05-15
-113.67,25.92,2003-05-16
-113.97,26.24,2003-05-17
-114.25,26.54,2003-05-18
-114.45,26.78,2003-05-19
-114.6,26.97,2003-05-20
-114.62,27.01,2003-05-21
-114.59,27.02,2003-05-22
-114.56,27.02,2003-05-23
-114.66,27.15,2003-05-24
-114.65,27.15,2003-05-25
-114.6,27.09,2003-05-26
-114.5,26.96,2003-05-27
-114.38,26.8,2003-05-28
-114.26,26.56,2003-05-29
-114.14,26.33,2003-05-30
-114.03,26.11,2003-05-31
-114.37,25.12,2003-05-01
-114.31,24.98,2003-05-02
-114.45,25,2003-05-03
-114.81,25.17,2003-05-04
-115.13,25.27,2003-05-05
-115.37,25.31,2003-05-06
-115.49,25.28,2003-05-07
-115.52,25.19,2003-05-08
-115.47,25.09,2003-05-09
-115.43,25.07,2003-05-10
-115.42,25.15,2003-05-11
-115.39,25.28,2003-05-12
-115.37,25.44,2003-05-13
-115.35,25.63,2003-05-14
-115.32,25.78,2003-05-15
-115.21,25.85,2003-05-16
-115.06,25.82,2003-05-17
-114.91,25.77,2003-05-18
-114.78,25.71,2003-05-19
-114.73,25.71,2003-05-20
-114.77,25.77,2003-05-21
-114.83,25.88,2003-05-22
-114.96,26.06,2003-05-23
-115.14,26.29,2003-05-24
-115.16,26.39,2003-05-25
-115.06,26.42,2003-05-26
-114.84,26.3,2003-05-27
-114.57,26.1,2003-05-28
-114.26,25.81,2003-05-29
-113.94,25.49,2003-05-30
-113.7,25.22,2003-05-31
-113.63,24.41,2004-05-01
-113.8,24.48,2004-05-02
-113.93,24.52,2004-05-03
-114.03,24.59,2004-05-04
-114.12,24.69,2004-05-05
-114.23,24.87,2004-05-06
-114.3,25.05,2004-05-07
-114.37,25.26,2004-05-08
-114.45,25.48,2004-05-09
-114.45,25.64,2004-05-10
-114.31,25.69,2004-05-11
-114.29,25.84,2004-05-12
-114.45,26.12,2004-05-13
-114.68,26.4,2004-05-14
-114.78,26.56,2004-05-15
-114.64,26.47,2004-05-16
-114.42,26.31,2004-05-17
-114.35,26.28,2004-05-18
-114.46,26.39,2004-05-19
-114.63,26.53,2004-05-20
-114.78,26.65,2004-05-21
-114.82,26.66,2004-05-22
-114.73,26.56,2004-05-23
-114.65,26.47,2004-05-24
-114.62,26.41,2004-05-25
-114.74,26.47,2004-05-26
-114.99,26.62,2004-05-27
-115.3,26.81,2004-05-28
-115.46,26.89,2004-05-29
-115.39,26.81,2004-05-30
-115.24,26.68,2004-05-31
-112.7380824,24.28825141,2003-05-01
-112.8842997,24.36184991,2003-05-02
-112.9167368,24.27322503,2003-05-03
-112.8727879,24.27426965,2003-05-04
-112.9289023,24.45605862,2003-05-05
-113.1383698,24.43279639,2003-05-06
-113.0033885,24.1836793,2003-05-07
-112.8979455,24.10070631,2003-05-08
-112.7733853,24.04719157,2003-05-09
-112.8152486,24.201468,2003-05-10
-112.9821049,24.22062951,2003-05-11
-112.9274325,24.0902575,2003-05-12
-112.8579668,24.26304178,2003-05-13
-113.1489893,24.70221847,2003-05-14
-113.4787176,24.89507295,2003-05-15
-113.5455075,25.09266919,2003-05-16
-113.8976201,25.46625037,2003-05-17
-114.0987385,25.55499491,2003-05-18
-114.2384901,25.64931998,2003-05-19
-114.3475267,25.73435113,2003-05-20
-114.4296148,25.69968029,2003-05-21
-114.3297613,25.56527997,2003-05-22
-114.2705214,25.67790282,2003-05-23
-114.3973937,25.82549681,2003-05-24
-114.4561994,25.76557827,2003-05-25
-114.414378,25.77091612,2003-05-26
-114.3714011,25.61733816,2003-05-27
-114.1357185,25.28154542,2003-05-28
-113.8305949,25.07077916,2003-05-29
-113.7248564,25.15611577,2003-05-30
-113.7796699,25.28743272,2003-05-31
-113.9849113,25.60615965,2003-05-02
-113.9919717,25.67163916,2003-05-05
-114.045121,25.63993622,2003-05-08
-113.844214,25.54359103,2003-05-11
-113.9725363,25.75718703,2003-05-14
-114.3775405,25.92504786,2003-05-17
-114.6167706,26.04829056,2003-05-20
-114.3782489,25.57159835,2003-05-23
-114.2050258,25.5616949,2003-05-26
-114.1782075,25.08478627,2003-05-29
-112.9686004,24.31014336,2004-05-02
-113.409099,24.46491286,2004-05-05
-113.4632701,24.91571269,2004-05-08
-113.9988497,25.54524757,2004-05-11
-114.1999018,25.88007147,2004-05-14
-114.4309304,26.28760014,2004-05-17
-114.5321386,26.73471733,2004-05-20
-114.5787375,26.46059622,2004-05-23
-113.6519682,25.04575381,2004-05-26
-113.6883634,25.80988759,2004-05-29
-113.86,25.47,2003-05-01
-113.72,25.41,2003-05-02
-113.73,25.46,2003-05-03
-113.84,25.57,2003-05-04
-113.94,25.69,2003-05-05
-114.12,25.85,2003-05-06
-114.22,25.92,2003-05-07
-114.07,25.8,2003-05-08
-113.88,25.69,2003-05-09
-113.76,25.63,2003-05-10
-113.73,25.6,2003-05-11
-113.68,25.52,2003-05-12
-113.72,25.52,2003-05-13
