"degrees_east","degrees_north","UTC"
-117.09,30.12,2002-09-01
-117.3,30.38,2002-09-02
-117.52,30.57,2002-09-03
-117.7,30.73,2002-09-04
-117.85,30.83,2002-09-05
-118.07,31,2002-09-06
-118.25,31.12,2002-09-07
-118.32,31.13,2002-09-08
-118.38,31.15,2002-09-09
-118.54,31.27,2002-09-10
-118.85,31.53,2002-09-11
-119.15,31.78,2002-09-12
-119.48,32.05,2002-09-13
-119.65,32.15,2002-09-14
-119.51,32,2002-09-15
-119.44,31.96,2002-09-16
-119.19,31.73,2002-09-17
-118.88,31.51,2002-09-18
-118.74,31.46,2002-09-19
-118.77,31.52,2002-09-20
-119.08,31.84,2002-09-21
-119.64,32.37,2002-09-22
-120.22,32.88,2002-09-23
-120.7,33.24,2002-09-24
-121,33.45,2002-09-25
-121.2,33.57,2002-09-26
-121.2,33.52,2002-09-27
-121.13,33.45,2002-09-28
-121.05,33.39,2002-09-29
-121.16,33.57,2002-09-30
-118.98,32.52,2002-09-01
-119.08,32.64,2002-09-02
-119.22,32.8,2002-09-03
-119.34,32.92,2002-09-04
-119.43,33,2002-09-05
-119.55,33.1,2002-09-06
-119.96,33.47,2002-09-07
-120.4,33.81,2002-09-08
-120.67,33.97,2002-09-09
-120.86,34.06,2002-09-10
-120.98,34.1,2002-09-11
-121.07,34.12,2002-09-12
-121.18,34.16,2002-09-13
-121.32,34.25,2002-09-14
-121.55,34.44,2002-09-15
-121.78,34.64,2002-09-16
-122.02,34.85,2002-09-17
-122.44,35.25,2002-09-18
-122.93,35.68,2002-09-19
-123.38,36.07,2002-09-20
-123.71,36.36,2002-09-21
-123.79,36.39,2002-09-22
-123.74,36.37,2002-09-23
-123.77,36.43,2002-09-24
-123.77,36.53,2002-09-25
-123.83,36.7,2002-09-26
-123.86,36.84,2002-09-27
-123.78,36.85,2002-09-28
-123.59,36.78,2002-09-29
-123.48,36.82,2002-09-30
-121.4,32.84,2003-09-01
-121.38,32.89,2003-09-02
-121.44,33.06,2003-09-03
-121.58,33.31,2003-09-04
-121.88,33.67,2003-09-05
