"degrees_east","degrees_north","UTC"
-114.74,26.66,2003-06-01
-114.69,26.57,2003-06-02
-114.62,26.47,2003-06-03
-114.55,26.38,2003-06-04
-114.47,26.29,2003-06-05
-114.41,26.23,2003-06-06
-114.43,26.22,2003-06-07
-114.45,26.2,2003-06-08
-114.46,26.15,2003-06-09
-114.44,26.08,2003-06-10
-114.42,26.02,2003-06-11
-114.53,26.08,2003-06-12
-114.69,26.18,2003-06-13
-114.94,26.34,2003-06-14
-115.14,26.42,2003-06-15
-115.35,26.46,2003-06-16
-115.45,26.38,2003-06-17
-115.49,26.27,2003-06-18
-115.5,26.15,2003-06-19
-115.56,26.1,2003-06-20
-115.64,26.08,2003-06-21
-115.71,26.05,2003-06-22
-115.73,26.01,2003-06-23
-115.67,25.92,2003-06-24
-115.58,25.86,2003-06-25
-115.55,25.85,2003-06-26
-115.65,25.94,2003-06-27
-115.72,25.99,2003-06-28
-115.72,25.97,2003-06-29
-115.75,26.03,2003-06-30
-116.35,27.34,2004-06-01
-116.39,27.24,2004-06-02
-116.38,27.13,2004-06-03
-116.28,26.96,2004-06-04
-116.21,26.83,2004-06-05
-116.2,26.79,2004-06-06
-116.24,26.83,2004-06-07
-116.29,26.89,2004-06-08
-116.34,26.95,2004-06-09
-116.4,27.02,2004-06-10
-116.51,27.14,2004-06-11
-116.35,27.06,2004-06-12
-116.14,27,2004-06-13
-116.05,27.06,2004-06-14
-115.99,27.15,2004-06-15
-115.96,27.22,2004-06-16
-115.78,27.11,2004-06-17
-115.61,27.04,2004-06-18
-115.66,27.18,2004-06-19
-115.79,27.39,2004-06-20
-115.98,27.65,2004-06-21
-116.21,27.95,2004-06-22
-116.47,28.31,2004-06-23
-116.81,28.79,2004-06-24
-117.14,29.22,2004-06-25
-117.29,29.44,2004-06-26
-117.18,29.39,2004-06-27
-116.96,29.23,2004-06-28
-116.88,29.19,2004-06-29
-117.07,29.39,2004-06-30
-118.71,31.2,2005-06-01
-118.99,31.48,2005-06-02
-119.29,31.59,2005-06-03
-119.55,31.48,2005-06-04
-119.65,31.16,2005-06-05
-119.59,30.66,2005-06-06
-119.39,30.08,2005-06-07
-119,29.46,2005-06-08
-118.6,28.97,2005-06-09
-118.31,28.65,2005-06-10
-118.2,28.51,2005-06-11
-118.19,28.46,2005-06-12
-118.2,28.51,2005-06-13
-118.27,28.74,2005-06-14
-118.43,29.18,2005-06-15
-118.82,29.85,2005-06-16
-119.36,30.58,2005-06-17
-120.01,31.33,2005-06-18
-120.68,31.97,2005-06-19
-121.3,32.48,2005-06-20
-121.77,32.88,2005-06-21
-122.25,33.31,2005-06-22
-122.78,33.71,2005-06-23
-123.18,33.92,2005-06-24
-123.37,33.93,2005-06-25
-123.39,33.87,2005-06-26
-123.4,33.79,2005-06-27
-123.34,33.68,2005-06-28
-123.29,33.57,2005-06-29
-123.3,33.5,2005-06-30
-114.35,25.71,2005-06-01
-114.37,25.76,2005-06-02
-114.39,25.9,2005-06-03
-114.55,26.1,2005-06-04
-114.58,26.13,2005-06-05
-114.73,26.25,2005-06-06
-114.75,26.26,2005-06-07
-114.95,26.38,2005-06-08
-115.12,26.44,2005-06-09
-115.32,26.49,2005-06-10
-115.55,26.54,2005-06-11
-115.64,26.5,2005-06-12
-115.66,26.44,2005-06-13
-115.61,26.31,2005-06-14
-115.51,26.17,2005-06-15
-115.55,26.21,2005-06-16
-114.43,25.83,2005-06-01
-114.48,25.89,2005-06-02
-114.57,26.08,2005-06-03
-114.66,26.24,2005-06-04
-114.87,26.48,2005-06-05
-115.07,26.64,2005-06-06
-115.22,26.76,2005-06-07
-115.37,26.83,2005-06-08
-117.9554059,30.02224898,2005-06-01
-117.6588204,29.47756253,2005-06-02
-117.4034125,29.08800419,2005-06-03
-117.3949345,28.97313337,2005-06-04
-117.5130329,28.97726223,2005-06-05
-117.5534317,28.98246661,2005-06-06
-117.7262142,29.07216921,2005-06-07
-117.7576291,29.16998629,2005-06-08
-117.8348589,29.4408458,2005-06-09
-117.9310247,29.79336532,2005-06-10
-117.9218219,30.10177648,2005-06-11
-117.8548008,30.43443583,2005-06-12
-117.8067587,30.73829311,2005-06-13
-117.7565136,31.1041862,2005-06-14
-117.7995272,31.39036454,2005-06-15
-117.7522508,31.37525507,2005-06-16
-117.4557253,30.92385612,2005-06-17
-116.9304112,30.02284673,2005-06-18
-116.330609,29.05683127,2005-06-19
-115.8073903,28.13142986,2005-06-20
-115.5195126,27.39882016,2005-06-21
-115.2768069,26.78190883,2005-06-22
-115.1435274,26.40145774,2005-06-23
-115.1660674,26.28611702,2005-06-24
-115.2217523,26.24248292,2005-06-25
-115.2299634,26.21395668,2005-06-26
-115.2724358,26.20915797,2005-06-27
-115.2453544,26.14735303,2005-06-28
-115.15782,25.97146215,2005-06-29
-115.1762579,25.9247635,2005-06-30
