"degrees_east","degrees_north","UTC"
-124.14,37.28,2002-10-01
-124.54,37.55,2002-10-02
-124.86,37.74,2002-10-03
-124.97,37.73,2002-10-04
-124.7,37.42,2002-10-05
-124.19,36.94,2002-10-06
-123.67,36.5,2002-10-07
-123.26,36.17,2002-10-08
-123.14,36.06,2002-10-09
-123.35,36.21,2002-10-10
-123.66,36.43,2002-10-11
-124.11,36.69,2002-10-12
-124.71,37.08,2002-10-13
-125.35,37.49,2002-10-14
-125.4,37.47,2002-10-15
-125.04,37.23,2002-10-16
-124.68,36.98,2002-10-17
-124.36,36.7,2002-10-18
-123.94,36.29,2002-10-19
-123.65,35.94,2002-10-20
-123.39,35.66,2002-10-21
-123.15,35.4,2002-10-22
-122.92,35.14,2002-10-23
-122.68,34.88,2002-10-24
-122.47,34.67,2002-10-25
-122.2,34.41,2002-10-26
-122.07,34.29,2002-10-27
-122.11,34.36,2002-10-28
-122.18,34.43,2002-10-29
-122.29,34.56,2002-10-30
-122.42,34.66,2002-10-31
-122.14,34.74,2003-10-01
-122.08,34.54,2003-10-02
-121.99,34.29,2003-10-03
-122.03,34.15,2003-10-04
-122.21,34.12,2003-10-05
-122.7,34.4,2003-10-06
-123.07,34.55,2003-10-07
-123.26,34.59,2003-10-08
-123.46,34.72,2003-10-09
-123.62,34.88,2003-10-10
-123.73,35.05,2003-10-11
-123.84,35.27,2003-10-12
-123.94,35.5,2003-10-13
-124,35.69,2003-10-14
-123.99,35.83,2003-10-15
-123.8,35.75,2003-10-16
-123.49,35.56,2003-10-17
-123.3,35.48,2003-10-18
-123.48,35.75,2003-10-19
-123.69,36.03,2003-10-20
-123.93,36.29,2003-10-21
-123.91,36.27,2003-10-22
-123.83,36.23,2003-10-23
-123.91,36.35,2003-10-24
-124.17,36.61,2003-10-25
-124.5,36.87,2003-10-26
-124.54,36.89,2003-10-27
-124.51,36.89,2003-10-28
-124.5,36.93,2003-10-29
-124.43,36.92,2003-10-30
-124.31,36.84,2003-10-31
-122.42,35.2,2004-10-01
-120.24,32.3,2005-10-01
-120.44,32.72,2005-10-02
-120.72,33.22,2005-10-03
-121.16,33.79,2005-10-04
-121.65,34.3,2005-10-05
-122.06,34.65,2005-10-06
-122.39,34.88,2005-10-07
-122.68,35,2005-10-08
-122.89,35.01,2005-10-09
-123.01,34.95,2005-10-10
-123.09,34.82,2005-10-11
-123.08,34.65,2005-10-12
-122.92,34.44,2005-10-13
-122.73,34.17,2005-10-14
-122.45,33.75,2005-10-15
-122.07,33.19,2005-10-16
-121.55,32.57,2005-10-17
-120.98,32.03,2005-10-18
-120.46,31.62,2005-10-19
-120.14,31.36,2005-10-20
-119.89,31.17,2005-10-21
-119.73,31.02,2005-10-22
-119.57,30.85,2005-10-23
-119.41,30.68,2005-10-24
-119.28,30.56,2005-10-25
-119.29,30.49,2005-10-26
-119.25,30.4,2005-10-27
-119.14,30.32,2005-10-28
-119.1,30.29,2005-10-29
-119.13,30.27,2005-10-30
-119.23,30.25,2005-10-31
-119.1,30.91,2005-10-01
-119.2,31.1,2005-10-02
-119.2,31.27,2005-10-03
-119.27,31.39,2005-10-04
-119.22,31.41,2005-10-05
-119.2,31.3,2005-10-06
-119.1,31.19,2005-10-07
-118.87,31.03,2005-10-08
-118.68,30.9,2005-10-09
-118.65,30.91,2005-10-10
-118.64,30.92,2005-10-11
-118.72,31.03,2005-10-12
-118.69,31.08,2005-10-13
-118.73,31.25,2005-10-14
-118.78,31.47,2005-10-15
-118.91,31.67,2005-10-16
-119.11,31.78,2005-10-17
-119.27,31.71,2005-10-18
-119.44,31.63,2005-10-19
-119.56,31.58,2005-10-20
-119.51,31.49,2005-10-21
-119.39,31.33,2005-10-22
-119.42,31.26,2005-10-23
-119.38,31.06,2005-10-24
-119.26,30.9,2005-10-25
-119.22,30.79,2005-10-26
-119.23,30.69,2005-10-27
-119,30.5,2005-10-28
-118.93,30.47,2005-10-29
-118.94,30.49,2005-10-30
-119.01,30.55,2005-10-31
