"degrees_east","degrees_north","UTC"
-122.43,33.86,2003-12-01
-121.44,32.9,2003-12-02
-120.24,31.77,2003-12-03
-119.06,30.72,2003-12-04
-118.4,30.11,2003-12-05
-117.94,29.6,2003-12-06
-117.51,29.08,2003-12-07
-117.04,28.58,2003-12-08
-116.9,28.4,2003-12-09
-116.95,28.32,2003-12-10
-116.95,28.17,2003-12-11
-116.99,28.07,2003-12-12
-117.1,28.05,2003-12-13
-117.21,28.01,2003-12-14
-117.03,27.78,2003-12-15
-116.7,27.46,2003-12-16
-116.45,27.23,2003-12-17
-116.3,27.1,2003-12-18
-116.3,27.08,2003-12-19
-116.36,27.06,2003-12-20
-116.56,27.15,2003-12-21
-116.53,27.03,2003-12-22
-116.03,26.58,2003-12-23
-115.63,26.29,2003-12-24
-115.54,26.28,2003-12-25
-115.47,26.29,2003-12-26
-115.35,26.28,2003-12-27
-115.39,26.42,2003-12-28
-115.6,26.68,2003-12-29
-115.9,26.96,2003-12-30
-116.06,27.1,2003-12-31
