"degrees_east","degrees_north","UTC"
-116.5,29.26,2003-07-27
-116.5,29.24,2003-07-28
-116.49,29.23,2003-07-29
-116.49,29.19,2003-07-30
-116.36,29.06,2003-07-31
-117.06,26.77,2004-07-01
-117.11,26.6,2004-07-02
-117.16,26.34,2004-07-03
-117.19,26.07,2004-07-04
-117.23,25.8,2004-07-05
-117.25,25.5,2004-07-06
-117.18,25.18,2004-07-07
-117.05,24.82,2004-07-08
-116.87,24.51,2004-07-09
-116.83,24.42,2004-07-10
-116.8,24.4,2004-07-11
-116.81,24.47,2004-07-12
-116.81,24.56,2004-07-13
-116.76,24.54,2004-07-14
-116.61,24.42,2004-07-15
-116.63,24.46,2004-07-16
-116.63,24.46,2004-07-17
-115.13,25.55,2005-07-01
-115.31,25.55,2005-07-02
-115.36,25.6,2005-07-03
-115.73,25.85,2005-07-04
-116.1,26.08,2005-07-05
-116.66,26.37,2005-07-06
-116.78,26.44,2005-07-07
-117.03,26.56,2005-07-08
-117.24,26.66,2005-07-09
-117.44,26.73,2005-07-10
-117.57,26.73,2005-07-11
-117.6,26.7,2005-07-12
-117.84,26.73,2005-07-13
-117.83,26.68,2005-07-14
-117.92,26.69,2005-07-15
-117.91,26.67,2005-07-16
-115.2,26.59,2005-07-01
-115.22,26.71,2005-07-02
-115.52,27.03,2005-07-03
-115.97,27.5,2005-07-04
-116.43,27.97,2005-07-05
-116.88,28.35,2005-07-06
-117.21,28.52,2005-07-07
-117.52,28.68,2005-07-08
-117.86,28.81,2005-07-09
-118.09,28.69,2005-07-10
-118.28,28.54,2005-07-11
-118.27,28.23,2005-07-12
-118.09,27.84,2005-07-13
-118.01,27.56,2005-07-14
-118.01,27.37,2005-07-15
-118.1,27.28,2005-07-16
-117.98,27.08,2005-07-17
-117.79,26.9,2005-07-18
-117.58,26.71,2005-07-19
-117.35,26.57,2005-07-20
-117.3,26.57,2005-07-21
-117.42,26.75,2005-07-22
-117.35,26.8,2005-07-23
-117.15,26.82,2005-07-24
-116.85,26.81,2005-07-25
-116.79,26.91,2005-07-26
-116.98,27.1,2005-07-27
-117.32,27.31,2005-07-28
-117.5,27.47,2005-07-29
-117.77,27.71,2005-07-30
-118,27.91,2005-07-31
-115.6,26.4,2005-07-01
-115.78,26.46,2005-07-02
-116.05,26.61,2005-07-03
-116.41,26.81,2005-07-04
-116.64,26.91,2005-07-05
-116.81,26.99,2005-07-06
-116.93,27.05,2005-07-07
-117.11,27.13,2005-07-08
-117.25,27.23,2005-07-09
-117.38,27.3,2005-07-10
-117.45,27.31,2005-07-11
-117.55,27.33,2005-07-12
-117.79,27.43,2005-07-13
-117.96,27.51,2005-07-14
-117.98,27.51,2005-07-15
-118.2,27.64,2005-07-16
-118.26,27.71,2005-07-17
-118.27,27.83,2005-07-18
-118.3,27.98,2005-07-19
-118.23,28.06,2005-07-20
-118.23,28.18,2005-07-21
-118.25,28.25,2005-07-22
-118.21,28.28,2005-07-23
-117.14,26.94,2005-07-01
-117.09,26.87,2005-07-02
-117.03,26.8,2005-07-03
-117.03,26.74,2005-07-04
-116.96,26.68,2005-07-05
-116.93,26.66,2005-07-06
-116.98,26.66,2005-07-07
-117.12,26.75,2005-07-08
