eventid,deploylen,taggingdate,deplon,deplat,recdate,reclon,reclat,reclen,reclen_type
100200100,89.0,2002-08-05,-116.82857,30.14595,,,,,
100200200,94.0,2002-08-05,-116.80137,30.2123,,,,,
100200300,100.0,2002-08-05,-116.82882,30.14632,2003-07-24,-116.42,28.68,115.00,SFL
100200400,97.0,2002-08-05,-116.82882,30.14632,2002-09-04,-117.37,30.66,95.00,SFL
100200500,98.0,2002-08-05,-116.82882,30.14632,,,,,
100200600,91.0,2002-08-05,-116.82882,30.14632,2005-07-31,137.81,37.76,156.00,SFL
100200700,112.0,2002-08-05,-116.82882,30.14632,2003-07-22,-116.53,28.58,,
100200800,94.0,2002-08-05,-116.82882,30.14632,2003-06-10,-114.2,25.75,114.00,SFL
100200900,91.0,2002-08-05,-116.82882,30.14632,2003-07-04,-115.43,25.78,106.00,SFL
100201000,92.5,2002-08-05,-116.82882,30.14632,2004-06-07,141.62,38.8,130.00,SFL
100201100,93.0,2002-08-05,-116.82882,30.14632,2003-07-23,-116.43,28.55,100.00,SFL
100201200,100.0,2002-08-05,-116.82882,30.14632,2005-07-11,-117.2,29.6,165.00,SFL
100201300,94.0,2002-08-05,-116.82882,30.14632,2003-07-23,-116.66,28.56,,
100201400,100.0,2002-08-05,-116.82882,30.14632,,,,,
100201500,94.0,2002-08-05,-116.82882,30.14632,2003-06-19,-114.63,25.82,114.00,SFL
100201600,103.0,2002-08-05,-116.82882,30.14632,,,,,
100201700,108.0,2002-08-05,-116.82882,30.14632,,,,,
100201800,97.0,2002-08-05,-116.82882,30.14632,2003-08-05,-116.1,29.28,132.00,SFL
100201900,94.0,2002-08-05,-116.82882,30.14632,,,,,
100202000,89.0,2002-08-05,-116.82882,30.14632,2004-07-16,-117.25,29.56,138.00,SFL
100202100,91.0,2002-08-05,-116.82882,30.14632,2003-07-18,-116.22,28.63,115.00,SFL
100202200,95.0,2002-08-05,-116.82882,30.14632,2003-07-23,-116.43,28.55,100.00,SFL
100202300,102.0,2002-08-05,-116.82882,30.14632,2006-07-10,135.51356,36.1135,,
100202400,99.0,2002-08-05,-116.82882,30.14632,2002-08-10,-117.18,30,96.00,SFL
100202500,97.0,2002-08-05,-116.82882,30.14632,,,,,
100202600,,2002-08-06,-116.77722,30.21835,,,,,
100202700,116.0,2002-08-06,-116.82857,30.14595,,,,,
100202800,95.0,2002-08-06,-116.82857,30.14595,,,,,
100202900,94.0,2002-08-06,-116.82857,30.14595,2003-07-25,-116.38,28.81,90.00,SFL
100203000,107.0,2002-08-06,-116.82857,30.14595,2003-07-23,-116.66,28.56,123.00,SFL
100203100,104.0,2002-08-06,-116.82857,30.14632,2005-07-01,137.51,37.73,180.00,SFL
100203200,105.0,2002-08-06,-116.82857,30.14595,2003-06-21,-114.7,25.88,92.00,SFL
100203300,99.0,2002-08-06,-116.82857,30.14595,,,,,
100203400,92.0,2002-08-06,-116.82857,30.14595,2005-07-26,-118.1,30.86,164.00,SFL
100203500,88.0,2002-08-06,-116.82857,30.14595,,,,,
100203600,94.0,2002-08-06,-116.80137,30.2123,2003-12-31,,,138.00,SFL
100203700,89.0,2002-08-06,-116.80137,30.2123,2005-05-27,-113.65,25.88,169.00,SFL
100203800,106.0,2002-08-06,-116.80137,30.2123,2002-08-21,-116.56,28.23,105.00,SFL
100203900,94.0,2002-08-06,-116.80137,30.2123,2004-07-12,-116.6,29.23,146.00,SFL
100204000,95.0,2002-08-06,-116.80137,30.2123,2007-07-26,134.2,36.71,209.00,SFL
100204100,95.0,2002-08-06,-116.80137,30.2123,2003-06-10,-114.2,25.75,114.00,SFL
100204200,99.0,2002-08-06,-116.80137,30.2123,2005-06-03,-115.66,25.66,132.00,SFL
100204300,100.0,2002-08-06,-116.80137,30.2123,,,,,
100204400,91.0,2002-08-06,-116.80137,30.2123,,,,,
100204500,99.0,2002-08-06,-116.77722,30.21835,,,,,
100204600,89.0,2002-08-06,-116.77722,30.21835,,,,,
100204700,103.0,2002-08-06,-116.77722,30.21835,2003-06-19,-114.63,25.82,113.00,SFL
100204800,96.0,2002-08-06,-116.77722,30.21835,2005-07-14,132.36,36.03,154.00,SFL
100204900,119.0,2002-08-06,-116.77722,30.21835,2005-11-21,140.6219,41.518,190.00,Estimated
100205400,121.0,2002-08-11,-116.9285,29.28,,,,,
100205600,140.0,2002-08-11,-116.9285,29.28,2004-06-17,142.389342,38.877326,171.00,SFL
100205700,145.0,2002-08-11,-116.9285,29.28,,,,,
100205800,124.0,2002-08-11,-116.9285,29.28,2002-09-03,-117.18,30.03,,
100205900,115.0,2002-08-11,-116.9285,29.28,2003-07-19,-116.43,28.65,120.00,SFL
100206101,144.0,2002-08-11,-117.7,31.7,,,,,
100206300,144.0,2002-08-11,-117.7,31.7,2005-05-14,131.66,27.5,183.00,SFL
100206400,142.5,2002-08-11,-117.7,31.7,,,,,
100206500,143.0,2002-08-11,-117.7,31.7,,,,,
100206600,148.0,2002-08-11,-116.912,29.23732,,,,,
100206700,119.0,2002-08-12,-116.97158,29.502,,,,,
100206800,76.0,2002-08-16,-117.7,31.7,,,,,
100206900,71.0,2002-08-16,-117.7,31.7,,,,,
100207000,73.0,2002-08-16,-117.7,31.7,,,,,
100207100,72.0,2002-08-16,-117.7,31.7,,,,,
100207200,71.0,2002-08-16,-117.7,31.7,,,,,
100207300,77.0,2002-08-16,-117.69868,31.64,,,,,
100207400,77.0,2002-08-16,-117.69868,31.64,,,,,
100207500,77.0,2002-08-16,-117.69868,31.64,,,,,
100207600,117.0,2002-08-16,-117.69868,31.64,,,,,
100207700,100.33,2002-11-12,-116.79,31.67,2005-08-01,-117.4,30.91,190.00,SFL
100207800,105.41,2002-11-12,-116.79,31.67,2005-08-01,-117.4,30.91,188.00,SFL
100207900,97.0,2002-11-12,-116.79,31.67,,,,,
100208000,91.0,2002-11-12,-116.79,31.67,,,,,
100208100,92.0,2002-11-12,-116.79,31.67,2004-07-06,-117.45,29.73,114.00,SFL
100208200,94.0,2002-11-12,-116.79,31.67,2003-09-04,140.18,41.08,105.00,SFL
100208300,97.0,2002-11-12,-116.79,31.67,,,,,
100208400,91.0,2002-11-12,-116.79,31.67,,,,,
100208500,91.0,2002-11-12,-116.79,31.67,2004-07-15,-117.33,29.73,104.00,SFL
100208600,96.0,2002-11-12,-116.79,31.67,,,,,
100208700,91.0,2002-11-12,-116.79,31.67,,,,,
100208800,94.0,2002-11-12,-116.79,31.67,,,,,
100208900,91.0,2002-11-12,-116.79,31.67,,,,,
